components,train_memory_gb,transform_memory_gb,total_memory_gb,accuracy,fit_time,predict_time,memory_exceeded,error
500,0.16094970703125,0.0074920654296875,0.81390380859375,0.56,4.624647855758667,0.013870716094970703,False,
1000,0.2578277587890625,0.0149078369140625,1.086639404296875,0.7045,7.763943910598755,0.02924323081970215,False,
1500,0.420867919921875,0.0,1.50750732421875,0.8045,12.563248872756958,0.052262067794799805,False,
2000,0.0666656494140625,0.0,1.5741729736328125,0.8445,20.149466037750244,0.06938409805297852,False,
2500,0.0220794677734375,0.060791015625,1.508026123046875,0.8985,26.930179119110107,0.10024309158325195,False,
3000,-0.1994476318359375,0.008636474609375,1.2836761474609375,0.9055,33.370753049850464,0.1284322738647461,False,
3500,0.1123046875,0.052154541015625,1.447906494140625,0.936,39.02785801887512,0.17441391944885254,False,
4000,-0.068634033203125,0.029754638671875,1.37921142578125,0.928,48.671247243881226,0.19691991806030273,False,
4500,-0.159637451171875,0.0586090087890625,1.2781982421875,0.9505,57.306472301483154,0.2494189739227295,False,
5000,-0.258697509765625,0.1458282470703125,1.0144500732421875,0.954,67.77524590492249,0.32777905464172363,False,
5500,-0.1310882568359375,0.09503173828125,0.7921142578125,0.96,83.06470990180969,0.35144901275634766,False,
6000,0.1821746826171875,0.092010498046875,0.8409271240234375,0.974,97.05400800704956,0.3958401679992676,False,
